clientes_atendidos,espera_media_geral,tempo_medio_sistema_geral,espera_media_dinheiro_ticket,tempo_medio_sistema_dinheiro_ticket,espera_media_pix,tempo_pagamento_pix_paralelo,tempo_medio_sistema_pix,clientes_prioritarios,clientes_ticket,clientes_com_erro,sem_troco,clientes_nao_atendidos,fila_pix_media,fila_pix_pico,fila_pix_final
842,292.90,311.13,290.25,302.25,300.20,38.86,344.71,29,0,9,6,46,2.35,7,0
836,384.26,401.62,380.81,392.80,394.98,39.76,439.74,25,0,8,6,60,1.65,6,0
817,217.26,235.58,217.64,229.71,211.92,40.79,257.79,23,0,8,6,60,5.92,16,0
810,450.80,468.89,446.88,459.13,463.10,39.91,508.84,24,0,13,6,72,1.79,6,0
821,456.32,474.34,462.71,474.92,427.69,38.35,472.21,31,0,12,6,97,2.08,7,0
839,262.19,279.22,259.96,271.83,267.53,38.73,311.82,26,0,5,7,83,1.89,6,1
821,333.09,351.53,338.64,350.72,309.44,39.08,354.59,32,0,8,7,50,1.87,6,0
835,336.02,354.15,334.33,346.26,339.81,40.52,385.46,27,0,5,6,43,2.43,7,0
819,201.92,220.52,204.53,216.48,190.07,39.71,234.97,26,0,8,4,43,3.46,11,1
844,322.36,339.68,317.09,328.96,341.76,38.28,385.53,33,0,8,6,48,2.50,8,0
866,376.00,394.34,373.44,385.21,380.73,38.92,424.97,26,0,3,6,70,3.77,13,5
876,307.66,325.13,309.67,320.91,297.85,38.09,342.16,22,0,7,5,33,2.43,10,3
794,782.78,799.78,791.13,803.62,738.32,38.79,783.45,39,0,9,7,136,2.53,10,0
822,563.50,580.91,562.69,574.80,560.88,39.85,606.15,23,0,6,7,95,1.41,5,0
788,691.04,708.00,699.73,712.58,645.65,37.54,688.51,25,0,10,8,130,2.02,8,0
798,421.98,439.96,431.29,443.36,381.27,38.93,426.72,28,0,11,5,56,2.42,8,0
863,250.81,268.85,248.85,260.51,256.16,38.25,299.41,28,0,3,6,26,2.93,8,0
823,329.13,347.45,334.99,346.79,305.47,38.30,349.79,24,0,7,5,38,2.49,10,3
827,372.42,390.03,369.71,381.94,377.77,38.92,422.01,25,0,9,6,80,1.79,7,2
869,259.92,277.56,258.66,270.35,262.11,39.01,306.12,30,0,7,5,54,3.01,9,3
808,376.09,394.29,373.15,385.40,384.15,40.19,430.55,29,0,13,5,58,2.05,5,0
816,371.09,388.52,367.80,379.95,382.18,39.39,427.22,26,0,8,8,49,1.77,4,3
854,196.99,215.18,198.62,210.28,187.81,40.23,233.29,28,0,8,5,60,2.61,8,0
798,470.76,489.16,466.18,478.77,482.86,40.33,529.00,28,0,12,6,81,1.82,6,0
846,317.64,336.91,316.61,328.72,318.99,40.87,365.39,29,0,7,7,39,4.47,15,0
803,555.11,573.12,547.41,559.89,579.92,38.76,624.31,33,0,10,6,96,2.71,10,5
855,391.86,410.50,391.73,403.51,388.97,40.48,435.47,32,0,7,6,72,4.15,12,2
810,437.73,454.62,430.51,442.64,460.83,38.78,506.07,20,0,13,5,123,1.55,5,0
831,187.97,205.20,195.46,207.43,150.40,40.16,195.56,23,0,6,6,83,2.21,6,0
840,214.28,232.00,212.08,224.14,219.99,39.31,264.41,26,0,10,5,62,1.96,6,0
